idhh	idperson	idpartner	idmother	idfather	dct	dwt	dag	dec	les	yem	dgn	lhw	dms	loc	yse	yiy	poa	ddi	boa	poa00	yseev 
16	1603	0	1601	1602	0	10	18	4	3	370.8121	1	37	1	1	0	0	0	0	0	0	0
17	1701	0	0	0	0	10	54	0	3	2428.286	1	37	1	7	0	0	0	0	0	0	0
18	1801	1802	1804	0	0	10	36	0	3	1193.915	1	50	2	5	0	0	0	0	0	0	0
18	1802	1801	0	0	0	10	27	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
18	1803	0	1802	1801	0	10	2	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0
18	1804	0	0	0	0	10	61	0	7	0	0	-1	5	-1	0	0	0	0	0	0	0
19	1901	1902	0	0	0	10	69	0	4	0	1	-1	2	8	0	0	1582.257	0	1582.257	1582.257	0
19	1902	1901	0	0	0	10	60	0	4	0	0	-1	2	-1	0	0	0	0	0	0	0
20	2001	0	0	0	0	10	21	6	3	1630.52	0	6	1	5	0	0	0	0	0	0	0
21	2101	0	0	0	0	10	75	0	4	0	0	-1	1	-1	0	0	2057.5935	0	2057.5935	2057.5935	0
21	2102	0	0	0	0	10	75	0	4	0	0	-1	1	-1	0	0	2398.453	0	2398.453	2398.453	0
22	2201	2202	0	0	0	10	34	0	3	2428.671	1	37	2	3	0	0	0	0	0	0	0
22	2202	2201	0	0	0	10	33	0	3	2000.717	0	37	2	3	0	0	0	0	0	0	0
22	2203	0	2202	2201	0	10	8	2	6	0	0	-1	1	-1	0	0	0	0	0	0	0
22	2204	0	2202	2201	0	10	4	0	0	0	0	-1	1	-1	0	0	0	0	0	0	0
23	2301	2302	0	0	0	10	49	0	3	1415.454	0	31	2	9	0	0	0	0	0	0	0
23	2302	2301	0	0	0	10	52	0	3	1819.578	1	45	2	7	0	0	0	0	0	0	0
23	2303	0	2301	2302	0	10	21	0	3	1305.426	1	37	1	7	0	0	0	0	0	0	0
24	2401	0	0	0	0	10	45	0	3	3227.595	1	45	4	2	0	0	0	0	0	0	0
24	2402	0	0	2401	0	10	8	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
24	2403	0	0	2401	0	10	16	4	6	0	1	-1	1	-1	0	0	0	0	0	0	0
25	2501	2502	0	0	0	10	85	0	4	0	1	-1	1	-1	0	0	1599.39425	0	1599.39425	1599.39425	0
25	2502	2501	0	0	0	10	71	0	7	0	0	-1	5	-1	0	0	1685.263	0	1685.263	1685.263	0
26	2601	2602	0	0	0	10	50	0	2	0	1	42	2	6	274.0497	0	0	0	0	0	274.0497
26	2602	2601	0	0	0	10	53	0	9	0	0	48	2	6	0	0	0	0	0	0	0
26	2603	0	2602	2601	0	10	27	0	3	720.1457	1	56	1	5	0	0	0	0	0	0	0
27	2701	2702	0	0	0	10	57	0	2	0	1	60	2	1	696.5267	0	0	0	0	0	696.5267
27	2702	2701	0	0	0	10	55	0	9	0	0	35	2	6	0	0	0	0	0	0	0
28	2801	0	0	0	0	10	63	0	2	0	1	45	5	5	2248.278	0	0	0	0	0	2248.278
29	2901	0	0	0	0	10	73	0	4	0	1	-1	5	-1	0	0	1705.359	0	1705.359	1705.359	0
30	3001	0	0	0	0	10	79	0	4	0	1	-1	1	-1	0	0	2018.15425	0	2018.15425	2018.15425	0
31	3101	0	0	0	0	10	81	0	4	0	1	-1	5	-1	0	0	1901.1425	0	1901.1425	1901.1425	0
32	3201	3202	0	0	0	10	86	0	4	0	1	-1	2	-1	0	0	1772.4905	0	1772.4905	1772.4905	0
32	3202	3201	0	0	0	10	71	0	7	0	0	-1	2	-1	0	0	2016.2145	0	2016.2145	2016.2145	0
33	3301	3302	0	0	0	10	85	0	4	0	1	-1	2	-1	0	0	1638.57825	0	1638.57825	1638.57825	0
33	3302	3301	0	0	0	10	85	0	4	0	0	-1	2	-1	0	0	1886.07525	0	1886.07525	1886.07525	0
34	3401	3402	0	0	0	10	42	0	3	2777.945	1	50	2	3	0	0	0	0	0	0	0
34	3402	3401	0	0	0	10	40	0	3	2103.79	0	32	2	3	0	0	0	0	0	0	0
34	3403	0	3402	3401	0	10	14	3	6	0	0	-1	1	-1	0	0	0	0	0	0	0
34	3404	0	3402	3401	0	10	17	4	3	142.5385	0	37	1	9	0	0	0	0	0	0	0
35	3501	3502	0	0	0	10	68	0	3	3993.764	1	37	2	3	0	0	1714.198	0	1714.198	1714.198	0
35	3502	3501	0	0	0	10	67	0	7	0	0	-1	2	-1	0	0	2123.7435	0	2123.7435	2123.7435	0
36	3601	3602	0	0	0	10	28	4	3	1747.507	0	29	1	2	0	0	0	0	0	0	0
36	3602	3601	0	0	0	10	27	0	3	2457.713	1	45	1	2	0	0	0	0	0	0	0
37	3701	3702	0	0	0	10	65	0	4	120.4123	1	3	2	1	0	0	1892.56725	0	1892.56725	1892.56725	0
37	3702	3701	0	0	0	10	62	0	3	2187.158	0	25	2	5	0	0	0	0	0	0	0
38	3801	3802	0	0	0	10	65	0	4	0	1	-1	4	8	0	0	1793.81	0	1793.81	1793.81	0
38	3802	3801	0	0	0	10	57	0	4	0	0	-1	4	5	0	0	0	0	0	0	0
39	3901	0	0	0	0	10	33	0	3	1978.62	1	37	1	3	0	0	0	0	0	0	0
40	4001	4002	0	0	0	10	79	0	4	0	1	-1	2	1	0	0	1962.6995	0	1962.6995	1962.6995	0
40	4002	4001	0	0	0	10	68	0	4	0	0	-1	2	5	0	0	1741.648	0	1741.648	1741.648	0
41	4101	4102	0	0	0	10	76	0	2	0	1	16	2	7	88.04153	0	1997.3145	0	1997.3145	1997.3145	88.04153
41	4102	4101	0	0	0	10	72	0	4	0	0	-1	2	4	0	0	1577.62	0	1577.62	1577.62	0
42	4201	0	0	0	0	10	86	0	4	0	0	-1	5	-1	0	0	1564.94575	0	1564.94575	1564.94575	0
43	4301	4302	0	0	0	10	44	0	2	0	1	40	2	1	0	0	0	0	0	0	0
43	4302	4301	0	0	0	10	39	0	3	1887.087	0	37	2	9	0	0	0	0	0	0	0
43	4303	0	4302	4301	0	10	16	4	6	0	1	-1	1	-1	0	0	0	0	0	0	0
43	4304	0	4302	4301	0	10	13	3	6	0	0	-1	1	-1	0	0	0	0	0	0	0
44	4401	0	0	0	0	10	39	0	3	2466.561	0	37	4	3	0	0	0	0	0	0	0
44	4402	0	4401	0	0	10	13	3	6	0	0	-1	1	-1	0	0	0	0	0	0	0
45	4501	0	0	0	0	10	62	0	3	3321.72	1	37	5	3	0	0	0	0	0	0	0
46	4601	4602	0	0	0	10	38	0	3	2273.78	1	45	2	9	0	0	0	0	0	0	0
46	4602	4601	0	0	0	10	32	0	7	0	0	-1	2	7	0	0	0	0	0	0	0
46	4603	0	4602	4601	0	10	3	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0
47	4701	4702	0	0	0	10	32	0	3	2692.101	1	37	2	7	0	0	0	0	0	0	0
47	4702	4701	0	0	0	10	30	0	3	1049.893	0	37	2	9	0	0	0	0	0	0	0
47	4703	0	4702	4701	0	10	7	2	6	0	0	-1	1	-1	0	0	0	0	0	0	0
47	4704	0	4702	4701	0	10	4	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0
48	4801	0	0	0	0	10	86	0	4	0	0	-1	1	-1	0	0	1523.9205	0	1523.9205	1523.9205	0
49	4901	4902	0	0	0	10	42	0	3	3116.293	1	35	2	7	0	0	0	0	0	0	0
49	4902	4901	0	0	0	10	41	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
49	4903	0	4902	4901	0	10	18	6	6	0	1	-1	1	-1	0	0	0	0	0	0	0
49	4904	0	4902	4901	0	10	17	6	6	0	0	-1	1	-1	0	0	0	0	0	0	0
50	5001	0	0	0	0	10	27	0	3	1393.389	1	47	1	1	0	0	0	0	0	0	0
51	5101	5102	0	0	0	10	48	0	2	0	1	80	2	1	2551.42	0	0	0	0	0	2551.42
51	5102	5101	0	0	0	10	41	0	9	0	0	70	2	9	0	0	0	0	0	0	0
51	5103	0	5102	5101	0	10	21	0	7	0	1	-1	1	-1	0	0	0	0	0	0	0
51	5104	0	5102	5101	0	10	19	0	7	0	1	-1	1	-1	0	0	0	0	0	0	0
52	5201	5202	5206	5205	0	10	40	0	2	0	1	48	2	5	1830.652	0	0	0	0	0	1830.652
52	5202	5201	0	0	0	10	38	0	9	0	0	48	2	5	0	0	0	0	0	0	0
52	5203	0	5202	5201	0	10	10	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
52	5204	0	5202	5201	0	10	15	4	6	0	0	-1	1	-1	0	0	0	0	0	0	0
52	5205	5206	0	0	0	10	70	0	4	0	1	-1	2	6	0	0	1339.5825	0	1339.5825	1339.5825	0
52	5206	5205	0	0	0	10	70	0	4	0	0	-1	2	8	0	0	2209.79325	0	2209.79325	2209.79325	0
53	5301	0	0	0	0	10	27	0	3	2047.626	0	48	1	4	0	0	0	0	0	0	0
53	5302	0	0	0	0	10	23	0	3	3418.609	0	48	1	5	0	0	0	0	0	0	0
54	5401	5402	0	0	0	10	47	0	2	0	1	40	2	5	974.8857	0	0	0	0	0	974.8857
54	5402	5401	0	0	0	10	47	0	2	0	0	40	2	9	950.5049	0	0	0	0	0	950.5049
55	5501	5502	0	0	0	10	31	0	3	3271.205	1	55	2	8	0	0	0	0	0	0	0
55	5502	5501	0	0	0	10	29	0	5	0	0	-1	2	3	0	0	0	0	0	0	0
55	5503	0	5502	5501	0	10	5	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0
55	5504	0	5502	5501	0	10	0	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0
56	5601	5602	0	0	0	10	71	0	4	0	1	-1	2	-1	0	0	1864.0435	0	1864.0435	1864.0435	0
56	5602	5601	0	0	0	10	66	0	7	0	0	-1	2	-1	0	0	1970.941	0	1970.941	1970.941	0
57	5701	5702	0	0	0	10	39	0	5	1588.124	1	-1	2	-1	0	0	0	0	0	0	0
57	5702	5701	0	0	0	10	40	0	3	1992.814	0	40	2	4	0	0	0	0	0	0	0
57	5703	0	5702	5701	0	10	15	4	6	0	1	-1	1	-1	0	0	0	0	0	0	0
57	5704	0	5702	5701	0	10	7	2	6	0	0	-1	1	-1	0	0	0	0	0	0	0
58	5801	5802	0	0	0	10	47	0	2	0	1	50	2	5	6085.435	0	0	0	0	0	6085.435
58	5802	5801	0	0	0	10	42	0	2	374.1166	0	20	2	5	770.6801	0	0	0	0	0	770.6801
58	5803	0	5802	5801	0	10	17	4	6	0	0	37	1	9	0	0	0	0	0	0	0
59	5901	5902	0	0	0	10	48	6	3	4018.483	1	50	2	3	0	0	0	0	0	0	0
59	5902	5901	0	0	0	10	46	0	3	1858.474	0	30	2	4	0	0	0	0	0	0	0
59	5903	0	5902	5901	0	10	16	4	6	0	1	-1	1	-1	0	0	0	0	0	0	0
59	5904	0	5902	5901	0	10	11	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
60	6001	0	0	0	0	10	82	0	4	0	0	-1	5	5	0	0	1231.9145	0	1231.9145	1231.9145	0
61	6101	6102	0	0	0	10	33	6	6	264.0059	1	37	2	1	0	0	0	0	0	0	0
61	6102	6101	0	0	0	10	29	0	3	1846.727	0	37	2	3	0	0	0	0	0	0	0
61	6103	0	6102	6101	0	10	2	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0
62	6201	0	0	0	0	10	79	0	4	0	0	-1	5	-1	0	0	1639.65575	0	1639.65575	1639.65575	0
63	6301	6302	0	0	0	10	32	0	3	3917.239	1	37	1	2	0	0	0	0	0	0	0
63	6302	6301	0	0	0	10	37	0	3	3294.441	0	35	1	3	0	0	0	0	0	0	0
63	6303	0	6302	6301	0	10	4	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0
64	6401	0	0	0	0	10	27	6	6	0	0	-1	1	4	0	0	0	0	0	0	0
65	6501	6502	0	0	0	10	22	0	3	1144.718	0	40	2	7	0	0	0	0	0	0	0
65	6502	6501	0	0	0	10	33	0	7	0	1	-1	2	-1	0	0	0	0	0	0	0
66	6601	6602	0	0	0	10	38	0	2	3497.603	1	43	2	2	4583.077	0	0	0	0	0	4583.077
66	6602	6601	0	0	0	10	36	0	3	916.5447	0	29	2	3	0	0	0	0	0	0	0
66	6603	0	6602	6601	0	10	8	2	6	0	0	-1	1	-1	0	0	0	0	0	0	0
66	6604	0	6602	6601	0	10	5	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0
67	6701	6702	0	0	0	10	64	0	4	0	1	-1	2	-1	0	0	0	0	0	0	0
67	6702	6701	0	0	0	10	66	0	4	0	0	-1	2	-1	0	0	2168.8355	0	2168.8355	2168.8355	0
68	6801	0	0	0	0	10	21	6	3	44.75474	0	37	1	4	0	0	0	0	0	0	0
69	6901	6902	0	0	0	10	39	0	3	3100.005	1	60	3	-1	0	0	0	0	0	0	0
69	6902	6901	0	0	0	10	31	0	5	522.0566	0	-1	2	3	0	0	0	0	0	0	0
69	6903	0	6902	6901	0	10	2	0	0	0	0	-1	1	-1	0	0	0	0	0	0	0
70	7001	7002	0	0	0	10	48	0	2	0	1	80	2	8	2360.339	0	0	0	0	0	2360.339
70	7002	7001	0	0	0	10	44	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
70	7003	0	7002	7001	0	10	23	0	3	294.8329	1	40	1	7	0	0	0	0	0	0	0
70	7004	0	7002	7001	0	10	21	0	5	0	1	-1	1	-1	0	0	0	0	0	0	0
71	7101	7102	0	0	0	10	72	0	4	0	1	-1	2	5	0	0	1124.8785	0	1124.8785	1124.8785	0
71	7102	7101	0	0	0	10	71	0	7	0	0	-1	2	-1	0	0	1784.3375	0	1784.3375	1784.3375	0
72	7201	0	0	0	0	10	61	0	4	0	0	-1	4	9	0	0	0	0	0	0	0
73	7301	7302	0	0	0	10	43	0	3	2124.509	0	37	4	4	0	0	0	0	0	0	0
73	7302	7301	0	0	0	10	41	0	3	4004.748	1	37	4	7	0	0	0	0	0	0	0
73	7303	0	7301	7302	0	10	20	0	3	1875.517	1	57	1	7	0	0	0	0	0	0	0
73	7304	0	7301	7302	0	10	15	3	6	0	0	-1	1	-1	0	0	0	0	0	0	0
74	7401	7402	0	0	0	10	35	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
74	7402	7401	0	0	0	10	35	0	3	0	1	75	2	8	636.0557	0	0	0	0	0	636.0557
75	7501	7502	0	0	0	10	36	0	3	2437.702	1	48	2	5	0	0	0	0	0	0	0
75	7502	7501	0	0	0	10	38	0	3	6546.696	0	40	2	7	0	0	0	0	0	0	0
75	7503	0	7502	7501	0	10	9	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
75	7504	0	7502	7501	0	10	5	2	0	0	0	-1	1	-1	0	0	0	0	0	0	0
76	7601	7602	0	0	0	10	40	0	2	0	1	45	2	1	1723.076	0	0	0	0	0	1723.076
76	7602	7601	0	0	0	10	28	0	7	0	0	-1	2	5	0	0	0	0	0	0	0
76	7603	0	7602	7601	0	10	7	2	6	0	0	-1	1	-1	0	0	0	0	0	0	0
76	7604	0	7602	7601	0	10	5	2	0	0	1	-1	1	-1	0	0	0	0	0	0	0
77	7701	7702	0	0	0	10	73	0	4	0	1	-1	2	-1	0	0	1702.66375	0	1702.66375	1702.66375	0
77	7702	7701	0	0	0	10	69	0	4	0	0	-1	2	9	0	0	1802.4195	0	1802.4195	1802.4195	0
78	7801	0	7802	0	0	10	34	0	3	1690.902	1	40	1	7	0	0	0	0	0	0	0
78	7802	0	0	0	0	10	68	0	7	0	0	-1	5	-1	0	0	1929.92075	0	1929.92075	1929.92075	0
79	7901	7902	0	0	0	10	40	0	3	3309.554	1	38	2	4	0	0	0	0	0	0	0
79	7902	7901	0	0	0	10	32	0	3	2913.542	0	38	2	4	0	0	0	0	0	0	0
79	7903	0	7902	7901	0	10	9	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
79	7904	0	7902	7901	0	10	1	0	0	0	0	-1	1	-1	0	0	0	0	0	0	0
80	8001	0	0	0	0	10	29	6	6	680.4103	1	20	1	5	0	0	0	0	0	0	0
81	8101	8102	0	0	0	10	57	0	2	0	1	50	2	1	1514.372	0	0	0	0	0	1514.372
81	8102	8101	0	0	0	10	48	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
82	8201	8202	0	0	0	10	48	0	3	1698.545	1	40	2	7	0	0	0	0	0	0	0
82	8202	8201	0	0	0	10	42	0	3	1422.645	0	40	2	8	0	0	0	0	0	0	0
82	8203	0	8202	8201	0	10	17	6	6	0	1	-1	1	-1	0	0	0	0	0	0	0
82	8204	0	8202	8201	0	10	8	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
83	8301	8302	0	0	0	10	46	0	3	2634.338	1	39	2	2	0	0	0	0	0	0	0
83	8302	8301	0	0	0	10	41	0	3	2425.293	0	37	2	2	0	0	0	0	0	0	0
83	8303	0	8302	8301	0	10	18	4	6	169.2129	0	12	1	9	0	0	0	0	0	0	0
83	8304	0	8302	8301	0	10	15	3	6	0	1	-1	1	-1	0	0	0	0	0	0	0
84	8401	0	8403	8402	0	10	32	0	2	0	1	70	1	1	2878.521	0	0	0	0	0	2878.521
84	8402	8403	0	0	0	10	66	0	4	0	1	-1	2	-1	0	0	1894.235	0	1894.235	1894.235	0
84	8403	8402	0	0	0	10	65	0	4	0	0	-1	2	9	0	0	1635.138	0	1635.138	1635.138	0
85	8501	8503	0	0	0	10	47	4	5	544.1652	1	-1	4	8	0	0	0	0	0	0	0
85	8502	0	8503	8501	0	10	9	2	6	0	0	-1	1	-1	0	0	0	0	0	0	0
85	8503	8501	0	0	0	10	47	4	5	0	0	-1	1	9	0	0	0	0	0	0	0
86	8601	0	0	0	0	10	75	0	4	0	0	-1	5	6	0	0	1550.04775	0	1550.04775	1550.04775	0
87	8701	0	0	0	0	10	40	0	3	2365.406	1	37	4	9	0	0	0	0	0	0	0
87	8702	0	0	8701	0	10	18	4	3	5389.022	1	37	1	9	0	0	0	0	0	0	0
88	8801	8802	0	0	0	10	55	0	3	1986.038	1	35	2	7	0	0	0	0	0	0	0
88	8802	8801	0	0	0	10	52	0	3	1508.636	0	30	2	9	0	0	0	0	0	0	0
88	8803	0	8802	8801	0	10	26	0	3	276.4122	0	20	1	5	0	0	0	0	0	0	0
88	8804	0	8802	8801	0	10	24	6	6	0	0	-1	1	-1	0	0	0	0	0	0	0
89	8901	0	0	0	0	10	62	0	4	0	0	-1	1	3	0	0	0	0	0	0	0
90	9001	9002	0	0	0	10	48	0	2	0	1	15	2	6	385.9464	0	0	0	0	0	385.9464
90	9002	9001	0	0	0	10	36	0	5	1210.292	0	-1	2	6	0	0	0	0	0	0	0
90	9003	0	9002	9001	0	10	15	4	6	0	1	-1	1	-1	0	0	0	0	0	0	0
91	9101	9102	0	0	0	10	69	0	4	0	1	-1	2	1	0	0	2334.60875	0	2334.60875	2334.60875	0
91	9102	9101	0	0	0	10	55	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
92	9201	0	0	0	0	10	80	0	7	0	1	-1	5	-1	0	0	1576.60125	0	1576.60125	1576.60125	0
92	9202	0	0	9201	0	10	38	0	3	3710.346	1	40	4	7	0	0	0	0	0	0	0
92	9203	0	0	9201	0	10	34	0	3	2482.049	1	40	1	5	0	0	0	0	0	0	0
92	9204	0	0	9202	0	10	11	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
93	9301	0	0	0	0	10	60	0	3	1040.33	1	37	1	5	0	0	0	0	0	0	0
94	9401	0	0	0	0	10	46	4	3	2593.184	0	37	4	4	0	0	0	0	0	0	0
94	9402	0	9401	0	0	10	18	6	6	13.35038	0	25	1	9	0	0	0	0	0	0	0
95	9501	0	0	0	0	10	83	0	4	0	0	-1	5	-1	0	0	1555.153	0	1555.153	1555.153	0
96	9601	9602	0	0	0	10	69	0	4	0	1	-1	2	7	0	0	1670.0215	0	1670.0215	1670.0215	0
96	9602	9601	0	0	0	10	63	0	4	0	0	-1	2	9	0	0	0	0	0	0	0
97	9701	9702	0	0	0	10	24	6	6	364.1589	0	14	2	5	0	0	0	0	0	0	0
97	9702	9701	0	0	0	10	31	0	3	2137.926	1	37	2	3	0	0	0	0	0	0	0
98	9801	9802	0	0	0	10	51	0	3	6019.587	1	60	2	3	0	0	0	0	0	0	0
98	9802	9801	0	0	0	10	48	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
98	9803	0	9802	9801	0	10	20	6	6	0	1	-1	1	-1	0	0	0	0	0	0	0
98	9804	0	9802	9801	0	10	20	6	6	0	0	-1	1	-1	0	0	0	0	0	0	0
98	9805	0	9802	9801	0	10	18	6	6	0	0	-1	1	-1	0	0	0	0	0	0	0
98	9806	0	9802	9801	0	10	14	3	6	0	0	-1	1	-1	0	0	0	0	0	0	0
99	9901	9902	0	0	0	10	46	0	2	0	1	45	2	7	2526.285	0	0	0	0	0	2526.285
99	9902	9901	0	0	0	10	46	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
99	9903	0	9902	9901	0	10	24	0	9	0	1	45	1	7	0	0	0	0	0	0	0
99	9904	0	9902	9901	0	10	12	3	6	0	0	-1	1	-1	0	0	0	0	0	0	0
100	10001	0	0	0	0	10	56	0	5	0	1	-1	4	9	0	0	0	0	0	0	0
101	10101	10102	0	0	0	10	65	0	4	0	1	-1	2	2	0	0	1797.85575	0	1797.85575	1797.85575	0
101	10102	10101	0	0	0	10	62	0	4	0	0	-1	2	2	0	0	0	0	0	0	0
102	10201	10202	0	0	0	10	51	0	3	1553.219	0	37	2	8	0	0	0	0	0	0	0
102	10202	10201	0	0	0	10	52	0	3	2836.058	1	37	2	3	0	0	0	0	0	0	0
103	10301	0	10302	0	0	10	19	0	3	994.0586	1	39	1	7	0	0	0	0	0	0	0
103	10302	0	0	0	0	10	47	0	7	0	0	-1	4	-1	0	0	0	0	0	0	0
103	10303	0	10302	0	0	10	20	0	3	1927.023	0	37	1	9	0	0	0	0	0	0	0
103	10304	0	10302	0	0	10	22	0	3	1982.13	0	37	1	9	0	0	0	0	0	0	0
104	10401	0	0	0	0	10	86	0	4	0	1	-1	5	-1	0	0	1991.33625	0	1991.33625	1991.33625	0
105	10501	10502	0	0	0	10	70	0	4	0	1	-1	2	9	0	0	1803.31825	0	1803.31825	1803.31825	0
105	10502	10501	0	0	0	10	71	0	4	85.77789	0	-1	2	6	661.5177	0	1512.67025	0	1512.67025	1512.67025	661.5177
106	10601	10602	0	0	0	10	32	0	3	2181.511	1	40	2	7	0	0	0	0	0	0	0
106	10602	10601	0	0	0	10	26	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
106	10603	0	10602	10601	0	10	6	2	6	0	0	-1	1	-1	0	0	0	0	0	0	0
106	10604	0	10602	10601	0	10	3	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0
107	10701	0	0	0	0	10	53	4	5	0	0	-1	3	-1	0	0	0	0	0	0	0
108	10801	10802	10805	0	0	10	53	0	2	0	1	25	2	6	2330.641	0	0	0	0	0	2330.641
108	10802	10801	0	0	0	10	48	0	9	0	0	20	2	-1	0	0	0	0	0	0	0
108	10803	0	10802	10801	0	10	15	4	6	0	1	-1	1	-1	0	0	0	0	0	0	0
108	10804	0	10802	10801	0	10	14	3	6	0	1	-1	1	-1	0	0	0	0	0	0	0
108	10805	0	0	0	0	10	75	0	4	0	0	-1	5	6	0	0	1922.61875	0	1922.61875	1922.61875	0
109	10901	0	0	0	0	10	52	4	3	968.8383	1	25	3	2	0	0	0	0	0	0	0
110	11001	11002	0	0	0	10	37	0	3	4303.343	1	94	1	2	0	0	0	0	0	0	0
110	11002	11001	0	0	0	10	34	6	3	2085.323	0	36	1	2	0	0	0	0	0	0	0
110	11003	0	11002	11001	0	10	9	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
111	11101	0	0	0	0	10	53	0	4	0	0	-1	1	-1	0	0	0	0	0	0	0
112	11201	11202	0	0	0	10	43	0	3	2694.589	1	40	2	4	0	0	0	0	0	0	0
112	11202	11201	0	0	0	10	46	0	3	3079.546	0	40	2	4	0	0	0	0	0	0	0
112	11203	0	11202	11201	0	10	15	4	6	0	1	-1	1	-1	0	0	0	0	0	0	0
112	11204	0	11202	11201	0	10	10	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
113	11301	11302	0	0	0	10	49	0	2	0	1	50	2	7	1722.489	0	0	0	0	0	1722.489
113	11302	11301	0	0	0	10	44	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
